"taxparcelnumber","location_value"
"7770101410","Other"
"7770101440","Other"
"7770101460","Other"
"7770101590","Low"
"7770101640","Other"
"7770101680","Other"
"7770101740","Low"
"7770101750","Low"
"7775000099","Low"
"7775000175","Low"
"7775000177","Low"
"7775000200","Low"
"7775000245","Low"
"7775000266","Low"
"7775000270","Low"
"7775000310","Low"
"7775000360","Low"
"7775000491","Low"
"7775000501","Low"
"7775000502","Low"
"7785000050","Low"
"7785000090","Other"
"7785000150","Low"
"7785000300","Low"
"7785000400","Low"
"7785000410","Low"
"7785000470","Low"
"7785000480","Low"
"7785000490","Low"
"7785000590","Low"
"7785000680","Low"
"7785000690","Low"
"7785000720","Other"
"7785000730","Low"
"7785000760","Low"
"7785000780","Low"
"7785000940","Low"
"7785000960","Low"
"7785001150","Low"
"7785001170","Low"
"7785001191","Low"
"7785001230","Low"
"7785001380","Low"
"7785001401","Low"
"7785001410","Low"
"7785001432","Low"
"7785001542","Low"
"7785001640","Low"
"7785001740","Low"
"7785001780","Low"
"7785001800","Low"
"7785001830","Other"
"7785001843","Low"
"7785001900","Low"
"7785001910","Low"
"7785001980","Low"
"7785001990","Low"
"7785002062","Low"
"7785002080","Low"
"7785002201","Low"
"7785002232","Low"
"7785002240","Low"
"7785002300","Low"
"7785002320","Other"
"7785002340","Low"
"7785002380","Low"
"7785002420","Low"
"7785002430","Low"
"7785002450","Low"
"7785002490","Low"
"7785002530","Low"
"7785002561","Low"
"7785002630","Low"
"7785002673","Low"
"7785002710","Low"
"7785002780","Low"
"7785002790","Low"
"7785002902","Low"
"7785002990","Low"
"7785003020","Low"
"7785003030","Low"
"7785003040","Low"
"7785003050","Low"
"7785003060","Low"
"7785003090","Other"
"7785003240","Low"
"7785003270","Low"
"7785003340","Low"
"7785003360","Low"
"7785003380","Low"
"7785003450","Low"
"7785003580","Low"
"7785003630","Low"
"7785003780","Low"
"7785003830","High"
"7785003930","Low"
"7785003940","Low"
"7785004050","Low"
"7785004070","Low"
"7785004110","Low"
"7785004120","Low"
"7785004160","Low"
"7785004262","Low"
"7785004280","Low"
"7785004320","Low"
"7785004332","Low"
"7785004371","Low"
"7785004372","Low"
"7785004373","Low"
"7785004400","Low"
"7785004430","Low"
"7785004442","Low"
"7785004490","Low"
"7785004500","Low"
"7785004581","Low"
"7785004590","Low"
"7785004630","Other"
"7785004670","Low"
"7785004720","Low"
"7785004781","Low"
"7785004850","Low"
"7785004860","Low"
"7785004890","Low"
"7785004940","Low"
"7785005010","Low"
"7785005150","Low"
"7785005162","Low"
"7785005170","Low"
"7785005220","Low"
"7785005230","Low"
"7785005260","Low"
"7785005270","Low"
"7785005290","Low"
"7785005350","Low"
"7785005410","Low"
"7785005440","Low"
"7785005450","Low"
"7785005490","Low"
"7785005540","Low"
"7785005690","Low"
"7785005810","Low"
"7785005820","Low"
"7785005840","Low"
"7785005900","Other"
"7785005980","Low"
"7785006080","Low"
"7785006090","Low"
"7785006100","Low"
"7785006130","Low"
"7785006200","Low"
"7785006280","Low"
"7785006290","Low"
"7785006340","Low"
"7785006370","Low"
"7785006380","Low"
"7785006420","Low"
"7785006430","Low"
"7785006450","Low"
"7785006520","Low"
"7785006560","Low"
"7785006590","Low"
"7785006770","Low"
"7785006780","Low"
"7785006790","Low"
"7785006800","Low"
"7785006850","Low"
"7785006930","Low"
"7785006940","Low"
"7785007000","Low"
"7785007040","Low"
"7795000030","Other"
"7795000071","Low"
"7795000080","Low"
"7795000120","Low"
"7795000130","Other"
"7795000160","Other"
"7795000270","Low"
"7795000280","Low"
"7795000331","Low"
"7795000370","Low"
"7795000402","Other"
"7795000460","Low"
"7795000510","Low"
"7795000540","Low"
"7795000620","Low"
"7795000720","Low"
"7795000790","Low"
"7795000880","Low"
"7795000890","Low"
"7795000900","Low"
"7795000940","Low"
"7795000973","Low"
"7795001030","Low"
"7795001060","Low"
"7795001121","Low"
"7795001122","Low"
"7795001220","Low"
"7795001231","Low"
"7795001380","Low"
"7795001391","Low"
"7795001432","Low"
"7795001451","Low"
"7795001460","Low"
"7795001473","Other"
"7795001511","Low"
"7800000011","Other"
"7800000024","Other"
"7800000170","Other"
"7800000240","Other"
"7800000250","High"
"7800000260","Other"
"7800000280","Other"
"7800000300","Other"
"7800000440","Other"
"7800000462","Other"
"7800000464","Other"
"7800000500","Other"
"7800000510","Other"
"7800000530","Other"
"7800000550","Other"
"7800000680","Other"
"7800000720","Other"
"7800000730","Other"
"7800000800","Other"
"7800000810","Other"
"7800000820","Other"
"7800000860","Other"
"7800000870","Other"
"7800000880","Other"
"7800000900","Other"
"7800000940","Other"
"7800000990","Other"
"7800001020","Other"
"7800001030","Other"
"7800001050","Other"
"7800001080","Other"
"7800001092","Other"
"7800001131","Other"
